courier_id,weekly_hours,deliveries_per_week,weekly_income,income_variability,stress_level,work_life_balance,job_satisfaction,experience_years,city,burnout_score,burnout_risk
1,49.96714153011233,69.40600794943242,398.2257904269167,0.25583809937545127,5,6,7,3,Paris,18.54852345278821,Low
2,43.61735698828815,68.66464729040365,454.17508054195207,0.10604297823508176,7,4,7,0,Berlin,22.14563687883726,Low
3,51.47688538100692,35.108920684249625,410.39284084322856,0.4593092260440508,6,5,2,1,Amsterdam,24.536157874742585,Low
4,60.23029856408026,71.74774520746406,516.562707041918,0.3108175987314724,3,8,9,3,Paris,15.1772655565388,Low
5,42.658466252766644,98.32072704554362,679.576779719287,0.43992090432094144,5,9,8,4,Paris,13.696748919039404,Low
6,42.6586304305082,48.144197023080125,384.3436764288193,0.12396188040134551,3,3,1,3,Paris,15.537207933165911,Low
7,60.79212815507391,106.2120662762648,650.1230746652622,0.19098324418916826,9,4,1,0,Barcelona,32.14747088841385,Low
8,52.67434729152909,92.19437052710845,382.74918914796683,0.20375199808847225,2,1,5,4,Paris,20.339824168343448,Low
9,40.30525614065048,61.644166950724056,372.8559181254674,0.2546765978555152,6,5,2,1,Paris,19.138342820750296,Low
10,50.42560043585965,76.46175906655381,622.789192751482,0.4211465489590185,9,4,1,2,Berlin,31.33914562034808,Low
11,40.365823071875376,119.95804519102583,638.2904567011425,0.25462314949259707,7,6,8,2,Paris,19.65597841648858,Low
12,40.34270246429743,98.33869533764664,627.7114905143982,0.1818614118585308,5,6,4,0,Barcelona,14.921424857874538,Low
13,47.41962271566034,80.21959137245369,302.6303887672788,0.12599610413550738,2,6,2,1,Paris,10.485847856053173,Low
14,25.86719755342202,74.0579170759754,430.10735328919236,0.131796699341075,2,3,5,1,Berlin,8.578126259437354,Low
15,27.750821674869673,81.91522676129149,623.4482888004982,0.404018882384391,4,7,6,3,Paris,9.865435326304809,Low
16,39.37712470759027,67.20591105144241,506.2312760845842,0.2779211964146532,2,3,8,2,Paris,14.092349376423613,Low
17,34.87168879665576,27.38126235702463,338.9460730703804,0.3904724488000061,8,6,7,3,Berlin,21.366231126996787,Low
18,48.142473325952736,131.05444776336827,568.7476908688162,0.3729148487054791,7,1,7,1,Amsterdam,30.67189048484061,Low
19,35.91975924478789,83.88312497998504,392.77891115127943,0.15414498470410312,7,8,1,0,Paris,14.317377620477396,Low
20,30.876962986647086,89.95368162806344,769.1787272588318,0.1571551736769069,3,7,3,0,Amsterdam,6.334640632763194,Low
21,59.65648768921554,78.55230625307728,731.7262193627388,0.40213680617365355,7,9,3,4,Berlin,22.418314368501196,Low
22,42.74223699513465,61.6220799818853,590.614613953335,0.3885073173941669,8,3,7,0,Berlin,28.207744272482064,Low
23,45.67528204687924,75.35188797628074,704.151005715466,0.25121230674972417,5,8,2,2,Amsterdam,14.214707681561016,Low
24,30.752518137865433,40.01513094514222,509.71870251850714,0.13096890533313604,1,2,7,4,Barcelona,9.535444494690989,Low
25,39.556172754748175,136.9271624513326,614.8156241562524,0.10483920867938089,1,9,9,2,Barcelona,1.4152439132182617,Low
26,46.10922589709866,49.1372000394401,721.6580442953112,0.21526277978469796,4,1,1,3,Berlin,22.485395566976575,Low
27,33.490064225776976,54.200842903820515,536.8248022691469,0.10368890943489079,2,7,2,3,Barcelona,4.583908362082001,Low
28,48.75698018345672,68.99351989034,461.72192427285745,0.1920290484414814,7,1,6,0,Barcelona,29.047384539451826,Low
29,38.99361310081195,112.20189312130944,244.30670627343264,0.2678002960845354,3,6,2,4,Berlin,11.376086891088939,Low
30,42.083062502067236,80.36272498156636,487.5299711417759,0.1485663061247817,4,1,2,2,Paris,20.610581811867984,Low
31,38.98293387770603,49.09660509923844,623.5134776843468,0.1417111031326185,9,4,5,2,Paris,25.111991194637994,Low
32,63.522781845089376,111.35845901893349,641.8450141351444,0.4585749742874946,2,7,7,1,Paris,17.142584296401758,Low
33,44.86502775262066,98.27501566963704,575.6547598577615,0.3341880116091557,8,2,4,0,Barcelona,29.80138844187775,Low
34,34.422890710440996,93.46087393041131,418.805135755664,0.4737822747051126,1,3,6,3,Amsterdam,12.564689960183424,Low
35,53.225449121031886,97.89335602927102,203.4767646578614,0.2383304655142717,3,4,3,1,Barcelona,18.35093939145228,Low
36,32.791563500289776,139.85904751456127,425.71773529928976,0.3708579749316653,4,6,4,3,Paris,12.546048799403582,Low
37,47.08863595004755,134.6273723759028,454.34826934190727,0.18187666984871617,6,9,4,3,Berlin,14.445357483501427,Low
38,25.403298761202244,62.832116424917615,453.06065492149787,0.34733612691197646,1,4,4,2,Berlin,7.094350897480436,Low
39,31.718139511015693,120.59712482027881,592.7834535466886,0.1518342920039938,8,6,1,3,Berlin,18.033784773344646,Low
40,46.96861235869123,89.57920474397251,797.8514616522259,0.1008322556705143,2,7,4,4,Barcelona,8.598906264312511,Low
41,52.38466579995411,92.47739540344374,518.5293802761639,0.47261272056383163,5,4,4,3,Amsterdam,24.44152694562455,Low
42,46.7136828118997,37.69322920891678,467.4902316265308,0.32195775047008374,6,6,6,4,Paris,20.233682348270747,Low
43,43.843517176117594,75.7403558652951,461.1167280493861,0.4707762651128158,8,3,9,3,Berlin,29.360817803963435,Low
44,41.98896304410711,59.67941024158588,518.6577150361571,0.23353260948082882,3,5,6,1,Paris,13.43201500804042,Low
45,30.214780096325725,100.70147037233274,375.75593594774017,0.23111442766470272,9,4,6,2,Paris,23.375578305544742,Low
46,37.801557916052914,106.77701251007012,518.0297838119083,0.2602620007092127,5,7,7,1,Barcelona,13.443087381908,Low
47,40.393612290402125,28.137841224592215,567.6218504497699,0.3824163935832673,8,6,7,2,Berlin,22.94224762295331,Low
