region,month,hours_per_week,deliveries_per_day,income_mean,income_variability,stress_level,work_life_balance,burnout_risk
Frankfurt,5,50.0,14.6,1318.0,0.9,4.9,5.9,0
Munich,7,43.6,12.4,800.0,0.59,3.6,6.4,0
Frankfurt,10,51.5,21.4,1580.0,0.87,4.9,4.2,1
Munich,7,60.2,25.7,1780.0,0.59,7.1,2.4,1
Frankfurt,11,42.7,11.4,952.0,0.79,6.2,4.2,0
Berlin,3,42.7,12.2,800.0,0.9,5.1,6.7,0
Berlin,5,60.8,23.7,1499.0,0.68,6.2,3.3,1
Berlin,8,52.7,19.2,1485.0,0.61,7.5,3.3,1
Munich,9,40.3,15.5,800.0,0.73,3.6,6.1,0
Cologne,9,50.4,19.5,1612.0,0.74,6.6,3.5,1
Frankfurt,10,40.4,12.7,800.0,0.61,3.6,7.9,0
Cologne,5,40.3,14.4,987.0,0.78,4.7,6.1,0
Cologne,2,47.4,16.6,869.0,0.8,4.6,4.2,0
Cologne,8,25.9,6.0,814.0,0.59,2.5,6.9,0
Hamburg,7,27.8,10.2,800.0,0.61,2.2,9.0,0
Frankfurt,4,39.4,16.8,1274.0,0.9,6.0,4.2,0
Hamburg,5,34.9,10.6,800.0,0.89,2.4,6.5,0
Frankfurt,12,48.1,16.5,1153.0,0.81,3.7,5.5,0
Hamburg,10,35.9,12.6,1358.0,0.64,6.8,3.9,1
Frankfurt,12,30.9,9.4,815.0,0.64,4.6,6.4,0
Berlin,12,59.7,21.9,1609.0,0.85,2.4,7.6,1
Cologne,11,42.7,12.2,970.0,0.63,3.4,9.0,0
Munich,11,45.7,19.2,1426.0,0.87,1.8,9.0,0
Cologne,10,30.8,12.1,952.0,0.58,1.6,8.1,0
Frankfurt,2,39.6,10.4,979.0,0.77,1.0,8.2,0
Munich,9,46.1,20.5,1571.0,0.44,4.4,4.6,0
Cologne,12,33.5,11.7,977.0,0.54,1.6,8.7,0
Frankfurt,6,48.8,14.1,1174.0,0.87,5.0,4.5,0
Cologne,9,39.0,16.3,1240.0,0.79,1.5,10.0,0
