rider_id,avg_delivery_time,total_orders,night_orders,weekend_orders,avg_order_value,workload_index,burnout_score,burnout_level,cluster
C1004,75.0,1,1,0,283.0,0.3333333333333333,16.0,Low,2
C1005,117.0,1,0,1,705.0,0.3333333333333333,36.0,Low,2
C1009,43.5,2,2,1,1561.0,0.6666666666666666,20.0,Low,1
C1055,80.0,1,0,0,1148.0,0.3333333333333333,52.0,Medium,0
C1064,44.0,1,0,0,1538.0,0.3333333333333333,28.999999999999996,Low,0
C1077,46.0,1,0,0,514.0,0.3333333333333333,62.0,Medium,2
C1094,98.0,1,1,0,1173.0,0.3333333333333333,33.0,Low,2
C1098,116.0,1,0,0,278.0,0.3333333333333333,50.0,Medium,2
C1117,95.0,1,1,0,1618.0,0.3333333333333333,12.0,Low,0
C1125,59.0,1,0,0,291.0,0.3333333333333333,51.0,Medium,2
C1126,66.0,1,0,0,957.0,0.3333333333333333,32.0,Low,0
C1133,35.0,1,0,0,1923.0,0.3333333333333333,39.0,Low,0
C1137,109.0,1,0,0,1015.0,0.3333333333333333,59.0,Medium,2
C1154,48.0,1,0,0,1917.0,0.3333333333333333,22.0,Low,0
C1161,98.0,1,0,0,958.0,0.3333333333333333,56.99999999999999,Medium,2
C1189,105.0,1,0,0,1001.0,0.3333333333333333,47.0,Medium,2
C1190,115.0,1,1,0,683.0,0.3333333333333333,46.0,Medium,2
C1197,48.0,1,0,0,265.0,0.3333333333333333,44.0,Medium,2
C1202,47.0,1,1,0,1182.0,0.3333333333333333,60.0,Medium,0
C1206,57.0,1,0,1,1788.0,0.3333333333333333,46.0,Medium,0
C1224,66.0,1,1,0,1562.0,0.3333333333333333,20.0,Low,0
C1225,72.0,1,1,1,593.0,0.3333333333333333,20.0,Low,2
C1232,73.0,1,0,0,542.0,0.3333333333333333,19.0,Low,2
C1235,53.0,1,0,0,265.0,0.3333333333333333,31.0,Low,2
C1249,66.0,1,0,1,309.0,0.3333333333333333,81.0,High,2
C1255,88.0,1,0,0,916.0,0.3333333333333333,39.0,Low,2
C1260,116.0,1,0,0,504.0,0.3333333333333333,42.0,Medium,2
C1262,63.0,1,0,0,727.0,0.3333333333333333,19.0,Low,2
C1301,69.0,1,1,1,584.0,0.3333333333333333,56.00000000000001,Medium,2
C1302,52.0,1,0,0,1074.0,0.3333333333333333,53.0,Medium,0
C1345,71.0,1,0,0,497.0,0.3333333333333333,33.0,Low,2
C1364,97.0,1,0,0,989.0,0.3333333333333333,45.0,Medium,2
C1384,37.0,1,0,0,276.0,0.3333333333333333,36.0,Low,2
C1391,82.0,1,0,1,1891.0,0.3333333333333333,59.0,Medium,0
C1395,74.0,1,0,0,1037.0,0.3333333333333333,94.0,High,0
C1404,63.0,1,1,0,1422.0,0.3333333333333333,37.0,Low,0
C1412,63.0,1,0,0,1329.0,0.3333333333333333,65.0,Medium,0
C1417,79.0,1,1,0,1120.0,0.3333333333333333,49.0,Medium,2
C1419,49.0,1,0,1,986.0,0.3333333333333333,38.0,Low,0
C1466,53.0,1,1,0,303.0,0.3333333333333333,62.0,Medium,2
C1502,111.0,1,0,0,1573.0,0.3333333333333333,39.0,Low,0
C1504,118.0,1,0,0,1124.0,0.3333333333333333,15.0,Low,0
C1512,68.0,1,0,0,1843.0,0.3333333333333333,61.0,Medium,0
C1523,88.0,1,1,1,951.0,0.3333333333333333,26.0,Low,2
C1536,42.0,1,0,0,757.0,0.3333333333333333,28.000000000000004,Low,2
C1537,31.0,1,0,1,889.0,0.3333333333333333,71.0,High,0
C1539,41.0,1,0,1,523.0,0.3333333333333333,56.99999999999999,Medium,2
C1559,59.0,1,1,1,1967.0,0.3333333333333333,39.0,Low,0
C1569,86.0,1,0,1,1183.0,0.3333333333333333,61.0,Medium,0
C1574,102.0,1,0,0,1466.0,0.3333333333333333,62.0,Medium,0
C1580,30.0,1,1,0,1450.0,0.3333333333333333,80.0,High,0
C1600,98.0,1,0,1,774.0,0.3333333333333333,63.0,Medium,2
C1606,41.0,1,1,0,1207.0,0.3333333333333333,60.0,Medium,0
C1635,112.0,1,1,0,1394.0,0.3333333333333333,79.0,High,0
C1638,39.0,1,0,0,1425.0,0.3333333333333333,39.0,Low,0
